Funder,Program,Country/Region,Province/State,Sector,Eligible Applicants,Funding Type,Typical Amount,Deadline Type,Next Deadline,Match Required,Website,Fit Score,Difficulty,Notes,Status,Next Action
Canada Council for the Arts,Project Grants — Arts Organizations,Canada,National,Arts & Culture,Registered charities / nonprofits with arts mandate,Project,$5,000–$100,000,Annual,March 15,No,https://canadacouncil.ca,High,Medium,Strong fit for arts orgs with professional practice and public programming. Requires minimum 2 years of operation.,Research,Review eligibility criteria and recent award recipients
Canada Council for the Arts,Operating Grants — Arts Organizations,Canada,National,Arts & Culture,Established arts nonprofits with 3+ years operation,Operating,$25,000–$500,000+,Annual,October 1,No,https://canadacouncil.ca,High,High,Competitive multi-year operating support. Requires demonstrated track record and professional management.,Research,Check operating grant guidelines
Ontario Trillium Foundation,Seed Grant,Canada,Ontario,Community Development,Registered charities and nonprofits in Ontario,Project,$5,000–$75,000,Rolling,Rolling,No,https://otf.ca,High,Low,Accessible entry point for smaller Ontario nonprofits. 6-month decision timeline. Good first application for new orgs.,Research,Start Letter of Inquiry
Ontario Trillium Foundation,Grow Grant,Canada,Ontario,Community Development,Registered charities and nonprofits in Ontario,Project,$75,001–$150,000,Annual,April 1,No,https://otf.ca,High,Medium,For established organizations with proven programs. Requires outcomes measurement framework.,Research,Review outcomes framework requirements
BC Arts Council,Arts and Culture Grants — Organizations,Canada,British Columbia,Arts & Culture,Arts nonprofits incorporated in BC,Project,$5,000–$100,000,Annual,February 1,No,https://bcartscouncil.ca,High,Medium,BC-specific program. Strong fit for arts orgs serving BC communities.,Research,Confirm BC incorporation status
Alberta Foundation for the Arts,Operating Funding for Arts Organizations,Canada,Alberta,Arts & Culture,Alberta-based arts nonprofits,Operating,$10,000–$200,000,Annual,March 1,No,https://affta.ab.ca,High,Medium,Multi-year operating support for Alberta arts organizations. Stable funding stream.,Research,Review organizational eligibility
Employment and Social Development Canada,New Horizons for Seniors Program,Canada,National,Seniors / Community,Nonprofits / municipalities / Indigenous groups serving seniors,Project,$1,000–$25,000,Annual,Varies by stream,No,https://canada.ca/en/employment-social-development,High,Low,Community-based projects that engage seniors. Straightforward application. Good for smaller orgs.,Research,Check current intake dates
Employment and Social Development Canada,Canada Summer Jobs,Canada,National,Youth Employment,Nonprofits / public sector / small business (under 50 employees),Wage Subsidy,Up to $15.55/hr (varies),Annual,February,No,https://canada.ca/en/employment-social-development,High,Low,Annual wage subsidy for hiring youth aged 15–30. Very accessible for registered nonprofits.,Research,Submit application in February intake
Heritage Canada,Building Communities Through Arts and Heritage,Canada,National,Arts & Heritage / Community,Nonprofits and municipalities,Project,$5,000–$500,000,Annual,March / October,No,https://canada.ca/en/canadian-heritage,High,Medium,Festivals and community events celebrating local history and arts. Good fit for community-based orgs.,Research,Review local festivals stream
Heritage Canada,Canada Cultural Spaces Fund,Canada,National,Arts & Culture Infrastructure,Nonprofits and municipalities,Capital,$100,000–$5,000,000,Annual,April,Yes — 50%,https://canada.ca/en/canadian-heritage,Medium,High,Capital funding for arts infrastructure. Requires significant match funding. Best for established orgs with capital plans.,Research,Assess capital project readiness
McConnell Foundation,Social Innovation,Canada,National,Social Innovation / Systems Change,Registered charities and social enterprises,Project / Strategic,$50,000–$500,000,Invitation only,Ongoing,No,https://mcconnellfoundation.ca,Medium,High,Relationship-based funder. Focus on systems change and social innovation. Cold applications rarely succeed.,Research,Research relationship-building entry points
Maytree Foundation,Policy Initiatives,Canada,National,Poverty Reduction / Human Rights,Nonprofits working on poverty and human rights policy,Project,$25,000–$200,000,Letter of Inquiry,Rolling,No,https://maytree.com,Medium,High,Invitation and LOI-based. Focus on systems-level policy change in poverty reduction.,Research,Submit Letter of Inquiry
Inspirit Foundation,Social Cohesion,Canada,National,Social Cohesion / Pluralism,Registered charities working on pluralism and belonging,Project,$25,000–$150,000,Letter of Inquiry,Rolling,No,https://inspiritfoundation.com,Medium,Medium,Focus on reducing polarization and building belonging. LOI-based process.,Research,Review current strategic priorities
Metcalf Foundation,Inclusive Local Economies,Canada,Ontario,Economic Inclusion,Ontario-based charities working on economic inclusion,Project,$25,000–$200,000,Letter of Inquiry,Rolling,No,https://metcalffoundation.com,Medium,High,LOI-based. Strong fit for orgs working on labour market inclusion and economic equity in Ontario.,Research,Submit Letter of Inquiry
Laidlaw Foundation,Youth Opportunities,Canada,Ontario,Youth / Social Justice,Ontario-based nonprofits working with youth,Project,$20,000–$100,000,Letter of Inquiry,Rolling,No,https://laidlawfdn.org,High,Medium,Focus on youth experiencing disadvantage in Ontario. LOI-based with strong social justice lens.,Research,Review current funding priorities
Vancouver Foundation,Community Grants,Canada,British Columbia,Multi-sector / Community,BC-registered nonprofits,Project / Operating,$2,000–$60,000,Annual,Varies by stream,No,https://vancouverfoundation.ca,High,Low,Strong community foundation covering diverse sectors. Multiple grant streams with different deadlines.,Research,Identify best-fit stream
Calgary Foundation,Community Grants,Canada,Alberta,Multi-sector / Community,Alberta-registered nonprofits,Project,$5,000–$50,000,Annual,February,No,https://thecalgaryfoundation.org,High,Low,Annual community grants for Calgary-area organizations. Accessible for established nonprofits.,Research,Confirm geographic eligibility
Edmonton Community Foundation,Community Grants,Canada,Alberta,Multi-sector / Community,Edmonton-area nonprofits,Project,$5,000–$40,000,Annual,March,No,https://ecfoundation.com,High,Low,Strong foundation for Edmonton-area organizations across sectors.,Research,Confirm geographic eligibility
Community Foundation of Ottawa,Grants for Good,Canada,Ontario,Multi-sector / Community,Ottawa-area registered charities,Project,$5,000–$30,000,Annual,April,No,https://cfo-fco.ca,High,Low,Ottawa-specific. Covers health, arts, environment, social services.,Research,Confirm Ottawa service area
Winnipeg Foundation,Community Grants,Canada,Manitoba,Multi-sector / Community,Manitoba-based registered charities,Project,$5,000–$50,000,Annual,March,No,https://wpgfdn.org,High,Low,Broad community foundation covering Manitoba nonprofits in multiple sectors.,Research,Identify matching program stream
Hamilton Community Foundation,Community Impact Grants,Canada,Ontario,Multi-sector / Community,Hamilton-area nonprofits,Project,$2,500–$25,000,Annual,May,No,https://hamiltoncommunityfoundation.ca,High,Low,Accessible for Hamilton-area organizations. Good entry point for smaller nonprofits.,Research,Confirm Hamilton service area
Lawson Foundation,Children and Youth,Canada,National,Children / Youth / Family,Registered charities with child and youth programs,Project,$25,000–$200,000,Letter of Inquiry,Rolling,No,https://lawson.ca,High,Medium,Focus on child and youth health and wellbeing. LOI-based process. Requires Canadian charity registration.,Research,Submit Letter of Inquiry
Max Bell Foundation,Public Policy Education,Canada,National,Public Policy / Civic Engagement,Nonprofits doing public policy education,Project,$25,000–$300,000,Invitation / LOI,Rolling,No,https://maxbell.org,Medium,High,Focus on strengthening public policy capacity. Invitation-preferred but LOIs considered.,Research,Review strategic priorities alignment
Walter and Duncan Gordon Foundation,Northern Canada,Canada,National,Northern Communities / Environment,Nonprofits and Indigenous orgs in Northern Canada,Project,$25,000–$200,000,Letter of Inquiry,Rolling,No,https://gordonfoundation.ca,Medium,Medium,Focus on freshwater and northern Canada. Good fit for northern and Indigenous-led organizations.,Research,Assess northern mandate alignment
Tides Canada,Environment / Social Justice,Canada,National,Environment / Social Justice,Registered charities and fiscally sponsored projects,Project,$10,000–$200,000,Rolling,Rolling,No,https://tidescanada.org,Medium,Medium,Also offers fiscal sponsorship for unincorporated groups. Environmental and social justice focus.,Research,Explore fiscal sponsorship option
Public Health Agency of Canada,Community-Based Health Projects,Canada,National,Public Health,Registered charities and nonprofits,Project,$25,000–$500,000,Annual,Varies,No,https://canada.ca/en/public-health,High,Medium,Multiple streams including mental health, chronic disease, and health promotion. Federal program with good funding levels.,Research,Identify best-fit health stream
Environment and Climate Change Canada,Environmental Damages Fund,Canada,National,Environment / Restoration,Nonprofits and Indigenous orgs doing restoration,Project,$25,000–$2,000,000,Annual,March,No,https://canada.ca/en/environment-climate-change,Medium,High,Competitive restoration fund. Strong fit for environmental orgs with restoration mandate.,Research,Review eligible project types
Environment and Climate Change Canada,EcoAction Community Funding,Canada,National,Environment / Community Action,Nonprofits and community groups,Project,$5,000–$100,000,Annual,February,No,https://canada.ca/en/environment-climate-change,High,Medium,Community-based environmental projects. More accessible than major ECCC streams.,Research,Review current priorities and project types
Indigenous Services Canada,Indigenous Community Support Fund,Canada,National,Indigenous / Community,First Nations / Inuit / Métis organizations,Project,$10,000–$1,000,000+,Rolling,Rolling,No,https://canada.ca/en/indigenous-services-canada,High,Medium,Broad support for Indigenous community programs. Multiple streams. Requires Indigenous organizational status.,Research,Confirm Indigenous organization status
